indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio
0	Hum Aapke Hain Koun..!	11	1	1994-08-05	1994	1995	All Time Blockbuster	9	6.25	0.68	72.465	36.062	3.924	418.123	1.0	3.0
1	Bahubali 2 - The Conclusion	3517	2	2017-04-28	2017	2015	All Time Blockbuster	9	195.0	246.47	510.36	234.0	295.764	612.432	1.0	3.0
2	Gadar - Ek Prem Katha	657	3	2001-06-15	2001	2000	All Time Blockbuster	9	19.0	9.28	76.88	64.79	31.645	262.161	1.0	3.0
3	Dilwale Dulhania Le Jayenge	3036	4	1995-10-20	1995	1995	All Time Blockbuster	9	4.0	3.373	53.313	21.08	17.776	280.96	1.0	3.0
4	Raja Hindustani	2737	5	1996-11-11	1996	1995	All Time Blockbuster	9	5.75	3.65	43.145	27.6	17.52	207.096	1.0	3.0
5	Dangal	3443	6	2016-12-23	2016	2015	All Time Blockbuster	9	132.0	192.38	374.53	162.36	236.627	460.672	1.0	3.0
6	Border	2678	7	1997-06-13	1997	1995	All Time Blockbuster	9	10.0	6.19	39.455	43.5	26.926	171.629	1.0	3.0
7	Kuch Kuch Hota Hai	2514	8	1998-10-16	1998	1995	All Time Blockbuster	9	10.0	5.64	46.865	40.9	23.068	191.678	1.0	3.0
8	Bajrangi Bhaijaan	2899	9	2015-07-17	2015	2015	All Time Blockbuster	9	125.0	183.52	315.49	162.5	238.576	410.137	1.0	3.0
9	PK	2482	10	2014-12-19	2014	2010	All Time Blockbuster	9	122.0	181.26	337.725	168.36	250.139	466.06	1.0	3.0
10	3 Idiots	136	11	2009-12-24	2009	2005	All Time Blockbuster	9	77.0	76.26	201.373	173.25	171.585	453.089	1.0	3.0
11	Dhoom 3	1956	12	2013-12-20	2013	2010	All Time Blockbuster	9	175.0	173.12	260.63	264.25	261.411	393.551	1.0	2.0
12	Tiger Zinda Hai	3689	13	2017-12-22	2017	2015	Blockbuster	8	210.0	206.04	339.0	252.0	247.248	406.8	1.0	2.0
13	Sultan	3317	14	2016-07-06	2016	2015	Blockbuster	8	145.0	208.99	300.673	178.35	257.058	369.828	1.0	3.0
14	Kabhi Khushi Kabhie Gham...	658	15	2001-12-14	2001	2000	Blockbuster	8	40.0	14.38	55.65	136.4	49.036	189.766	1.0	2.0
15	Kaho Naa... Pyaar Hai	711	16	2000-01-14	2000	2000	Blockbuster	8	10.0	3.77	44.275	35.3	13.308	156.291	1.0	3.0
16	Karan Arjun	3032	17	1995-01-13	1995	1995	Blockbuster	8	6.0	4.285	25.285	31.62	22.582	133.252	1.0	3.0
17	Dil To Pagal Hai	2635	18	1997-10-31	1997	1995	Blockbuster	8	9.0	5.24	34.97	39.15	22.794	152.12	1.0	3.0
18	Hum Saath Saath Hain	992	19	1999-11-05	1999	1995	Blockbuster	8	17.0	8.19	39.175	60.35	29.074	139.071	1.0	3.0
19	Padmaavat	3700	20	2018-01-25	2018	2015	Blockbuster	8	215.0	142.35	282.28	247.25	163.702	324.622	1.0	2.0
20	Mohabbatein	712	21	2000-10-27	2000	2000	Blockbuster	8	19.0	7.62	41.88	67.07	26.899	147.836	1.0	3.0
21	Chennai Express	1304	23	2013-08-08	2013	2010	Blockbuster	8	115.0	139.7	207.69	173.65	210.947	313.612	1.0	2.0
22	Dabangg	65	24	2010-09-10	2010	2010	Blockbuster	8	41.0	81.64	141.245	79.95	159.198	275.428	1.0	3.0
23	Ek Tha Tiger	887	25	2012-08-15	2012	2010	Blockbuster	8	92.0	128.02	186.145	154.56	215.074	312.724	1.0	3.0
24	Kick	2286	27	2014-07-25	2014	2010	Blockbuster	8	140.0	155.31	211.63	193.2	214.328	292.049	1.0	2.0
25	Ghajini	309	28	2008-12-25	2008	2005	Blockbuster	8	52.0	55.16	114.1	127.92	135.694	280.686	1.0	3.0
26	Simmba	5568	29	2018-12-28	2018	2015	Blockbuster	8	139.0	150.26	239.845	159.85	172.799	275.822	1.0	2.0
27	Bodyguard	26	30	2011-08-31	2011	2010	Blockbuster	8	70.0	103.89	144.78	124.6	184.924	257.708	1.0	3.0
28	Krrish 3	1711	31	2013-11-01	2013	2010	Blockbuster	8	95.0	121.22	175.835	143.45	183.042	265.511	1.0	2.0
29	Dhoom 2	176	33	2006-11-24	2006	2005	Blockbuster	8	42.0	32.0	81.005	116.34	88.64	224.384	1.0	2.0
30	Mohra	3102	34	1994-07-01	1994	1995	Blockbuster	8	3.75	3.17	12.013	21.638	18.291	69.315	1.0	3.0
31	Raja	3033	35	1995-06-02	1995	1995	Blockbuster	8	4.25	3.7	20.335	22.397	19.499	107.165	1.0	3.0
32	Dabangg 2	1206	36	2012-12-21	2012	2010	Blockbuster	8	84.0	99.06	149.52	141.12	166.421	251.194	1.0	2.0
33	Yeh Jawaani Hai Deewani	1280	37	2013-05-31	2013	2010	Blockbuster	8	75.0	105.35	177.99	113.25	159.078	268.765	1.0	3.0
34	Rowdy Rathore	177	38	2012-06-01	2012	2010	Blockbuster	8	77.0	75.52	131.215	129.36	126.874	220.441	1.0	2.0
35	Golmaal Again	3630	39	2017-10-20	2017	2015	Blockbuster	8	142.0	136.01	205.5	170.4	163.212	246.6	1.0	2.0
36	Agni Sakshi	2817	41	1996-03-29	1996	1995	Blockbuster	8	4.75	2.985	19.52	22.8	14.328	93.696	1.0	3.0
37	Krrish	384	42	2006-06-23	2006	2005	Blockbuster	8	40.0	29.3	72.155	110.8	81.161	199.869	1.0	2.0
38	Ready	27	43	2011-06-03	2011	2010	Blockbuster	8	61.0	69.08	120.723	108.58	122.962	214.887	1.0	2.0
39	Rangeela	2958	44	1995-09-08	1995	1995	Blockbuster	8	4.5	3.725	20.22	23.715	19.631	106.559	1.0	3.0
40	Om Shanti Om	266	45	2007-11-09	2007	2005	Blockbuster	8	40.0	36.38	78.165	104.0	94.588	203.229	1.0	2.0
41	Golmaal 3	5	46	2010-11-05	2010	2010	Blockbuster	8	50.0	62.61	108.06	97.5	122.09	210.717	1.0	3.0
42	Lage Raho Munnabhai	303	47	2006-09-01	2006	2005	Blockbuster	8	19.0	20.39	74.88	52.63	56.48	207.418	1.0	3.0
43	Rab Ne Bana Di Jodi	313	48	2008-12-12	2008	2005	Blockbuster	8	39.0	41.79	84.68	95.94	102.803	208.313	1.0	3.0
44	Krantiveer	3093	49	1994-07-22	1994	1995	Blockbuster	8	2.25	2.273	9.353	12.982	13.115	53.967	1.0	3.0
45	Baaghi 2	3744	50	2018-03-30	2018	2015	Blockbuster	8	59.0	110.81	160.745	67.85	127.432	184.857	1.0	3.0
46	Tanu Weds Manu Returns	2870	51	2015-05-22	2015	2015	Blockbuster	8	39.0	69.16	148.84799999999998	50.7	89.908	193.502	1.0	3.0
47	Bahubali - The Beginning	3943	52	2015-07-10	2015	2015	Blockbuster	8	170.0	43.22	119.225	221.0	56.186	154.992	0.0	1.0
48	Badhaai Ho	3967	53	2018-10-18	2018	2015	Blockbuster	8	29.0	61.17	134.465	33.35	70.346	154.635	1.0	3.0
49	Raaz	592	54	2002-02-01	2002	2000	Blockbuster	8	5.25	4.69	21.46	17.062	15.243	69.745	1.0	3.0
50	Vivah	378	55	2006-11-10	2006	2005	Blockbuster	8	8.0	5.63	31.563000000000002	22.16	15.595	87.43	1.0	3.0
51	Aashiqui 2	989	56	2013-04-26	2013	2010	Blockbuster	8	15.0	34.69	78.64	22.65	52.382	118.746	1.0	3.0
52	Ishq	2627	57	1997-11-28	1997	1995	Super Hit	7	11.0	5.47	24.933000000000003	47.85	23.794	108.459	1.0	3.0
53	Pardes	2660	58	1997-08-08	1997	1995	Super Hit	7	10.0	3.645	22.83	43.5	15.856	99.31	1.0	3.0
54	Barsaat	2968	59	1995-10-06	1995	1995	Super Hit	7	8.25	3.668	19.185	43.478	19.33	101.105	1.0	3.0
55	Biwi No.1	991	60	1999-05-28	1999	1995	Super Hit	7	12.0	7.29	25.58	42.6	25.88	90.809	1.0	3.0
56	Happy New Year	2344	61	2014-10-24	2014	2010	Super Hit	7	150.0	133.6	178.41	207.0	184.368	246.206	0.0	2.0
57	Koi Mil Gaya	507	62	2003-08-08	2003	2000	Super Hit	7	30.0	12.9	47.195	94.5	40.635	148.664	1.0	2.0
58	Ziddi	2693	64	1997-04-11	1997	1995	Super Hit	7	7.5	4.445	18.385	32.625	19.336	79.975	1.0	3.0
59	2	5557	65	2018-11-29	2018	2015	Super Hit	7	575.0	127.89	185.89	661.25	147.074	213.773	0.0	1.0
60	Soldier	2503	66	1998-11-20	1998	1995	Super Hit	7	8.25	5.49	21.37	33.742	22.454	87.403	1.0	3.0
61	Hero No. 1	2704	68	1997-02-21	1997	1995	Super Hit	7	6.75	4.18	17.075	29.362	18.183	74.276	1.0	3.0
62	Jeet	2769	69	1996-08-23	1996	1995	Super Hit	7	7.25	4.19	16.13	34.8	20.112	77.424	1.0	3.0
63	Pyaar To Hona Hi Tha	2548	70	1998-07-24	1998	1995	Super Hit	7	7.5	3.46	21.505	30.675	14.151	87.955	1.0	3.0
64	Mission Mangal	5699	71	2019-08-15	2019	2015	Super Hit	7	95.0	115.38	192.67	104.5	126.918	211.937	1.0	3.0
65	Singham Returns	2289	72	2014-08-15	2014	2010	Super Hit	7	105.0	112.04	140.15	144.9	154.615	193.407	1.0	2.0
66	Agneepath	1	73	2012-01-26	2012	2010	Super Hit	7	71.0	81.37	119.98299999999999	119.28	136.702	201.571	1.0	2.0
67	Welcome	265	74	2007-12-21	2007	2005	Super Hit	7	48.0	33.41	70.15	124.8	86.866	182.39	1.0	2.0
68	Khiladiyon Ka Khiladi	2793	75	1996-06-14	1996	1995	Super Hit	7	6.75	4.515	14.385	32.4	21.672	69.048	1.0	3.0
69	Singham	4	76	2011-07-22	2011	2010	Super Hit	7	41.0	49.29	98.38	72.98	87.736	175.116	1.0	3.0
70	Ghatak	2739	77	1996-11-08	1996	1995	Super Hit	7	6.25	4.28	15.235	30.0	20.544	73.128	1.0	3.0
71	Housefull 2	3	78	2012-04-06	2012	2010	Super Hit	7	72.0	61.75	111.79299999999999	120.96	103.74	187.812	1.0	2.0
72	Raja Babu	3183	79	1994-01-21	1994	1995	Super Hit	7	2.3	2.498	8.235	13.271	14.413	47.516	1.0	3.0
73	Pyaar Kiya To Darna Kya	2583	80	1998-03-27	1998	1995	Super Hit	7	7.75	4.47	18.065	31.697	18.282	73.886	1.0	3.0
74	Saajan Chale Sasural	2807	81	1996-04-12	1996	1995	Super Hit	7	4.25	3.648	13.82	20.4	17.51	66.336	1.0	3.0
75	Raajneeti	89	82	2010-06-04	2010	2010	Super Hit	7	61.0	53.77	92.375	118.95	104.852	180.131	1.0	2.0
76	Coolie No. 1	2974	83	1995-06-30	1995	1995	Super Hit	7	3.5	3.568	12.558	18.445	18.803	66.181	1.0	3.0
77	Partner	258	84	2007-07-20	2007	2005	Super Hit	7	28.0	27.74	60.045	72.8	72.124	156.117	1.0	3.0
78	Singh Is Kinng	202	85	2008-08-08	2008	2005	Super Hit	7	50.0	39.38	67.905	123.0	96.875	167.046	1.0	2.0
79	Judaai	2703	86	1997-02-28	1997	1995	Super Hit	7	6.0	2.23	14.095	26.1	9.7	61.313	1.0	3.0
80	Chak De India	234	87	2007-08-10	2007	2005	Super Hit	7	22.0	21.53	66.54	57.2	55.978	173.004	1.0	3.0
81	Fanaa	297	88	2006-05-26	2006	2005	Super Hit	7	30.0	20.32	51.87	83.1	56.286	143.68	1.0	2.0
82	Bandit Queen	2827	89	1996-01-26	1996	1995	Super Hit	7	3.25	2.39	14.095	15.6	11.472	67.656	1.0	3.0
83	Hum Aapke Dil Mein Rehte Hain	2455	90	1999-01-22	1999	1995	Super Hit	7	6.25	3.64	17.03	22.188	12.922	60.456	1.0	3.0
84	Veer Zaara	451	91	2004-11-12	2004	2000	Super Hit	7	23.0	17.57	41.86	69.69	53.237	126.836	1.0	2.0
85	No Entry	389	92	2005-08-26	2005	2005	Super Hit	7	24.0	14.08	44.72	70.08	41.114	130.582	1.0	2.0
86	Rustom	3357	93	2016-08-12	2016	2015	Super Hit	7	73.0	89.32	124.45	89.79	109.864	153.074	1.0	2.0
87	Toilet Ek Prem Katha	3578	94	2017-08-11	2017	2015	Super Hit	7	75.0	94.21	132.07	90.0	113.052	158.484	1.0	2.0
88	Chhichhore	5706	95	2019-09-06	2019	2015	Super Hit	7	53.0	66.63	147.325	58.3	73.293	162.058	1.0	3.0
89	Judwaa 2	3611	96	2017-09-29	2017	2015	Super Hit	7	63.0	95.35	132.39	75.6	114.42	158.868	1.0	3.0
90	Dilwale	3178	97	1994-02-04	1994	1995	Super Hit	7	2.1	1.5130000000000001	6.332999999999999	12.117	8.73	36.541	1.0	3.0
91	Airlift	3211	98	2016-01-22	2016	2015	Super Hit	7	68.0	79.29	123.465	83.64	97.527	151.862	1.0	2.0
92	Taare Zameen Par	263	99	2007-12-21	2007	2005	Super Hit	7	18.0	16.57	61.833	46.8	43.082	160.766	1.0	3.0
93	Dream Girl	5707	100	2019-09-13	2019	2015	Super Hit	7	36.0	70.12	139.37	39.6	77.132	153.307	1.0	3.0
94	Bhaag Milkha Bhaag	1292	101	2013-07-12	2013	2010	Super Hit	7	53.0	52.37	109.185	80.03	79.079	164.869	1.0	3.0
95	Badrinath Ki Dulhania	3480	102	2017-03-10	2017	2015	Super Hit	7	44.0	71.77	114.115	52.8	86.124	136.938	1.0	3.0
96	ABCD 2	2882	103	2015-06-19	2015	2015	Super Hit	7	65.0	71.87	103.585	84.5	93.431	134.66	1.0	2.0
97	Grand Masti	1482	104	2013-09-13	2013	2010	Super Hit	7	34.0	63.82	91.655	51.34	96.368	138.399	1.0	3.0
98	Barfi!	1061	105	2012-09-14	2012	2010	Super Hit	7	50.0	56.79	105.57	84.0	95.407	177.358	1.0	3.0
99	Stree	3826	106	2018-08-31	2018	2015	Super Hit	7	24.0	59.31	124.565	27.6	68.206	143.25	1.0	3.0
100	Raazi	3760	107	2018-05-11	2018	2015	Super Hit	7	38.0	56.18	122.395	43.7	64.607	140.754	1.0	3.0
101	Phir Hera Pheri	367	108	2006-06-09	2006	2005	Super Hit	7	18.0	17.5	40.81	49.86	48.475	113.044	1.0	3.0
102	The Dirty Picture	30	109	2011-12-02	2011	2010	Super Hit	7	31.0	48.41	79.788	55.18	86.17	142.023	1.0	3.0
103	Bunty Aur Babli	390	110	2005-05-27	2005	2005	Super Hit	7	12.5	14.37	36.25	36.5	41.96	105.85	1.0	3.0
104	Ek Villain	2271	111	2014-06-27	2014	2010	Super Hit	7	39.0	72.65	97.515	53.82	100.257	134.571	1.0	3.0
105	Mujhe Kucch Kehna Hai	665	112	2001-05-25	2001	2000	Super Hit	7	7.0	5.11	17.275	23.87	17.425	58.908	1.0	3.0
106	Ajab Prem Ki Ghazab Kahani	139	113	2009-11-06	2009	2005	Super Hit	7	44.0	37.73	62.848	99.0	84.892	141.408	1.0	2.0
107	OMG! Oh My God	1142	114	2012-09-28	2012	2010	Super Hit	7	25.0	35.85	81.435	42.0	60.228	136.811	1.0	3.0
108	2 States	2228	115	2014-04-18	2014	2010	Super Hit	7	45.0	58.45	101.86	62.1	80.661	140.567	1.0	3.0
109	Dhoom	450	116	2004-08-27	2004	2000	Super Hit	7	11.0	10.51	31.6	33.33	31.845	95.748	1.0	3.0
110	Bala	5732	117	2019-11-08	2019	2015	Super Hit	7	32.0	69.22	110.975	35.2	76.142	122.072	1.0	3.0
111	Sonu Ke Titu Ki Sweety	3720	118	2018-02-23	2018	2015	Super Hit	7	40.0	44.56	100.805	46.0	51.244	115.926	1.0	3.0
112	Raaz 3	1046	119	2012-09-07	2012	2010	Super Hit	7	31.0	51.65	67.405	52.08	86.772	113.24	1.0	3.0
113	Jaane Tu... Ya Jaane Na	317	120	2008-07-04	2008	2005	Super Hit	7	15.0	21.01	55.623000000000005	36.9	51.685	136.833	1.0	3.0
114	Kya Kehna	750	121	2000-05-19	2000	2000	Super Hit	7	4.0	2.81	12.17	14.12	9.919	42.96	1.0	3.0
115	Malamaal Weekly	366	122	2006-03-10	2006	2005	Super Hit	7	7.0	10.26	26.885	19.39	28.42	74.471	1.0	3.0
116	Fukrey Returns	3672	123	2017-12-08	2017	2015	Super Hit	7	29.0	49.11	77.905	34.8	58.932	93.486	1.0	3.0
117	Jannat	316	124	2008-05-16	2008	2005	Super Hit	7	10.0	14.24	30.1	24.6	35.03	74.046	1.0	3.0
118	Murder 2	38	125	2011-07-08	2011	2010	Super Hit	7	13.0	35.2	47.98	23.14	62.656	85.404	1.0	3.0
119	Bewafa Sanam	2985	126	1995-05-12	1995	1995	Super Hit	7	1.25	0.665	4.963	6.587	3.505	26.155	1.0	3.0
120	Pyaar Ka Punchnama 2	3083	127	2015-10-16	2015	2015	Super Hit	7	22.0	36.8	60.383	28.6	47.84	78.498	1.0	3.0
121	Murder	458	128	2004-04-02	2004	2000	Super Hit	7	5.0	5.27	15.01	15.15	15.968	45.48	1.0	3.0
122	Prem Ratan Dhan Payo	3125	129	2015-11-12	2015	2015	Hit	6	180.0	157.6	194.305	234.0	204.88	252.597	0.0	2.0
123	Devdas	591	130	2002-07-12	2002	2000	Hit	6	44.0	11.78	41.655	143.0	38.285	135.379	0.0	1.0
124	Bajirao Mastani	3193	131	2015-12-18	2015	2015	Hit	6	145.0	84.36	183.75	188.5	109.668	238.875	1.0	2.0
125	Lagaan	659	132	2001-06-15	2001	2000	Hit	6	24.0	6.63	34.305	81.84	22.608	116.98	1.0	2.0
126	Hum Dil De Chuke Sanam	2403	133	1999-06-18	1999	1995	Hit	6	16.0	5.74	24.76	56.8	20.377	87.898	1.0	2.0
127	Gupt	2674	134	1997-07-04	1997	1995	Hit	6	9.5	5.345	18.23	41.325	23.251	79.3	1.0	2.0
128	Bade Miyan Chote Miyan	2515	135	1998-10-16	1998	1995	Hit	6	12.0	6.33	19.19	49.08	25.89	78.487	1.0	2.0
129	Ra.One	28	136	2011-10-26	2011	2010	Hit	6	130.0	90.53	113.948	231.4	161.143	202.827	0.0	1.0
130	Indian	660	137	2001-10-26	2001	2000	Hit	6	15.0	9.08	24.215	51.15	30.963	82.573	1.0	2.0
131	Don 2	29	138	2011-12-23	2011	2010	Hit	6	76.0	71.18	106.44	135.28	126.7	189.463	1.0	2.0
132	Bol Bachchan	262	139	2012-07-06	2012	2010	Hit	6	66.0	61.41	100.053	110.88	103.169	168.089	1.0	2.0
133	Holiday - A Soldier Is Never Off Duty	2256	140	2014-06-06	2014	2010	Hit	6	86.0	68.64	112.44	118.68	94.723	155.167	1.0	2.0
134	Kal Ho Naa Ho	508	141	2003-11-27	2003	2000	Hit	6	28.0	12.45	38.55	88.2	39.217	121.432	1.0	2.0
135	Total Dhamaal	5607	142	2019-02-22	2019	2015	Hit	6	113.0	92.24	150.075	124.3	101.464	165.082	1.0	2.0
136	Goliyon Ki Raasleela Ram - Leela	1765	143	2013-11-15	2013	2010	Hit	6	88.0	73.87	112.975	132.88	111.544	170.592	1.0	2.0
137	Sarfarosh	2411	144	1999-04-30	1999	1995	Hit	6	8.0	4.48	18.765	28.4	15.904	66.616	1.0	3.0
138	Judwaa	2706	145	1997-02-07	1997	1995	Hit	6	6.25	4.03	13.14	27.187	17.53	57.159	1.0	3.0
139	Saaho	5702	146	2019-08-30	2019	2015	Hit	6	325.0	120.9	148.84	357.5	132.99	163.724	0.0	1.0
140	Kesari	5617	147	2019-03-21	2019	2015	Hit	6	126.0	97.35	151.875	138.6	107.085	167.062	0.0	2.0
141	Dulhan Hum Le Jayenge	716	148	2000-03-24	2000	2000	Hit	6	11.0	7.09	18.85	38.83	25.028	66.54	1.0	2.0
142	Wanted	137	149	2009-09-18	2009	2005	Hit	6	52.0	33.63	60.24	117.0	75.668	135.54	0.0	2.0
143	Laadla	3159	150	1994-03-25	1994	1995	Hit	6	3.25	2.0180000000000002	7.1579999999999995	18.752	11.644	41.302	1.0	3.0
144	Kachche Dhaage	2452	151	1999-02-19	1999	1995	Hit	6	10.0	5.7	16.19	35.5	20.235	57.474	1.0	2.0
145	Rang De Basanti	369	152	2006-01-26	2006	2005	Hit	6	28.0	15.35	53.08	77.56	42.52	147.032	1.0	2.0
146	Super 30	5688	153	2019-07-12	2019	2015	Hit	6	120.0	75.58	147.0	132.0	83.138	161.7	0.0	2.0
147	Jab Tak Hai Jaan	1177	154	2012-11-13	2012	2010	Hit	6	78.0	72.27	101.59	131.04	121.414	170.671	1.0	2.0
148	Main Hoon Na	452	155	2004-04-30	2004	2000	Hit	6	25.0	14.57	36.2	75.75	44.147	109.686	1.0	2.0
149	Don - The Chase Begins Again	292	156	2006-10-20	2006	2005	Hit	6	38.0	24.44	50.345	105.26	67.699	139.456	1.0	2.0
150	Son Of Sardaar	1178	157	2012-11-13	2012	2010	Hit	6	67.0	61.14	88.68	112.56	102.715	148.982	1.0	2.0
151	Jodi No.1	661	158	2001-04-13	2001	2000	Hit	6	11.0	6.57	18.895	37.51	22.404	64.432	1.0	2.0
152	Deewana Mastana	2642	159	1997-10-10	1997	1995	Hit	6	7.0	4.14	13.59	30.45	18.009	59.116	1.0	2.0
153	M.S. Dhoni - The Untold Story	3394	160	2016-09-30	2016	2015	Hit	6	110.0	84.58	119.09	135.3	104.033	146.481	0.0	2.0
154	Gully Boy	5602	161	2019-02-14	2019	2015	Hit	6	84.0	93.5	134.24	92.4	102.85	147.664	1.0	2.0
155	Sabse Bada Khiladi	2988	162	1995-06-09	1995	1995	Hit	6	4.0	3.153	9.395	21.08	16.616	49.512	1.0	3.0
156	Housefull	92	163	2010-04-30	2010	2010	Hit	6	47.0	47.35	72.248	91.65	92.332	140.884	1.0	2.0
157	Dulhe Raja	2553	164	1998-07-10	1998	1995	Hit	6	5.0	3.26	12.745	20.45	13.333	52.127	1.0	3.0
158	Bhool Bhulaiyaa	233	165	2007-10-12	2007	2005	Hit	6	32.0	23.5	49.095	83.2	61.1	127.647	1.0	2.0
159	Housefull 3	3296	166	2016-06-03	2016	2015	Hit	6	97.0	80.02	108.073	119.31	98.425	132.93	0.0	2.0
160	My Name Is Khan	96	167	2010-02-12	2010	2010	Hit	6	85.0	46.46	72.825	165.75	90.597	142.009	0.0	1.0
161	Badal	717	168	2000-02-11	2000	2000	Hit	6	10.0	6.16	15.38	35.3	21.745	54.291	1.0	2.0
162	Jolly LLB 2	3464	169	2017-02-10	2017	2015	Hit	6	83.0	73.58	107.775	99.6	88.296	129.33	1.0	2.0
163	Zindagi Na Milegi Dobara	33	170	2011-07-15	2011	2010	Hit	6	60.0	44.71	89.96	106.8	79.584	160.129	1.0	2.0
164	Jaan	2801	171	1996-05-17	1996	1995	Hit	6	4.75	3.42	10.083	22.8	16.416	48.398	1.0	3.0
165	Haseena Maan Jayegi	2404	172	1999-06-25	1999	1995	Hit	6	9.0	4.75	15.02	31.95	16.862	53.321	1.0	2.0
166	Ae Dil Hai Mushkil	3402	173	2016-10-28	2016	2015	Hit	6	98.0	78.1	106.48	120.54	96.063	130.97	0.0	2.0
167	Satya	2555	174	1998-07-03	1998	1995	Hit	6	2.5	1.555	14.347999999999999	10.225	6.36	58.683	1.0	3.0
168	Main Khiladi Tu Anari	3074	175	1994-09-23	1994	1995	Hit	6	3.25	2.4330000000000003	7.882999999999999	18.752	14.038	45.485	1.0	3.0
169	Ghulam	2557	176	1998-06-19	1998	1995	Hit	6	7.25	4.04	13.355	29.652	16.524	54.622	1.0	2.0
170	Heyy Babyy	246	177	2007-08-24	2007	2005	Hit	6	36.0	24.48	47.12	93.6	63.648	122.512	1.0	2.0
171	Bandhan	2519	178	1998-10-02	1998	1995	Hit	6	5.75	4.16	12.095	23.518	17.014	49.469	1.0	3.0
172	Guru	223	179	2007-01-12	2007	2005	Hit	6	22.0	18.7	45.49	57.2	48.62	118.274	1.0	3.0
173	Race	190	180	2008-03-21	2008	2005	Hit	6	46.0	33.33	60.83	113.16	81.992	149.642	1.0	2.0
174	Virasat	2681	181	1997-05-30	1997	1995	Hit	6	4.5	2.765	11.32	19.575	12.028	49.242	1.0	3.0
175	Mujhse Shaadi Karogi	453	182	2004-07-30	2004	2000	Hit	6	19.0	12.21	29.11	57.57	36.996	88.203	1.0	2.0
176	Love Aaj Kal	138	183	2009-07-31	2009	2005	Hit	6	56.0	42.8	66.56	126.0	96.3	149.76	0.0	2.0
177	Golmaal Returns	311	184	2008-10-29	2008	2005	Hit	6	35.0	33.9	51.12	86.1	83.394	125.755	1.0	2.0
178	Ram Jaane	2915	185	1995-12-01	1995	1995	Hit	6	3.75	3.155	8.607999999999999	19.762	16.627	45.364	1.0	3.0
179	Bhagam Bhag	284	186	2006-12-22	2006	2005	Hit	6	32.0	20.91	40.375	88.64	57.921	111.839	1.0	2.0
180	Vijaypath	3090	187	1994-08-05	1994	1995	Hit	6	2.75	2.4130000000000003	6.452999999999999	15.868	13.923	37.234	1.0	3.0
181	Once Upon A Time In Mumbaai	85	188	2010-07-30	2010	2010	Hit	6	35.0	34.56	58.265	68.25	67.392	113.617	1.0	2.0
182	Yes Boss	2670	189	1997-07-18	1997	1995	Hit	6	5.0	3.29	11.33	21.75	14.311	49.286	1.0	3.0
183	Hamara Dil Aapke Paas Hai	739	190	2000-08-25	2000	2000	Hit	6	9.0	4.92	14.786	31.77	17.368	52.195	1.0	2.0
184	Suhaag	3034	191	1994-11-04	1994	1995	Hit	6	3.0	2.593	7.09	17.31	14.962	40.909	1.0	3.0
185	Daag - The Fire	2453	192	1999-02-12	1999	1995	Hit	6	6.75	4.22	11.45	23.962	14.981	40.647	1.0	2.0
186	Raid	3729	193	2018-03-16	2018	2015	Hit	6	72.0	59.86	98.02	82.8	68.839	112.723	1.0	2.0
187	Baaghi	3271	194	2016-04-29	2016	2015	Hit	6	37.0	59.68	76.065	45.51	73.406	93.56	1.0	3.0
188	Elaan	3182	195	1994-01-21	1994	1995	Hit	6	1.85	1.588	4.61	10.674	9.163	26.6	1.0	3.0
189	Cocktail	652	196	2012-07-13	2012	2010	Hit	6	53.0	52.51	74.48	89.04	88.217	125.126	1.0	2.0
190	Yamla Pagla Deewana	35	197	2011-01-14	2011	2010	Hit	6	29.0	34.72	54.938	51.62	61.802	97.79	1.0	2.0
191	Garam Masala	392	198	2005-11-02	2005	2005	Hit	6	17.0	14.13	29.0	49.64	41.26	84.68	1.0	2.0
192	Yeh Dillagi	3138	199	1994-05-06	1994	1995	Hit	6	2.0	1.63	5.72	11.54	9.405	33.004	1.0	3.0
193	Chachi 420	2620	200	1997-12-19	1997	1995	Hit	6	4.5	1.96	11.42	19.575	8.526	49.677	1.0	3.0
194	Piku - Motion Se Hi Emotion	2864	201	2015-05-08	2015	2015	Hit	6	42.0	41.32	78.385	54.6	53.716	101.901	1.0	2.0
195	Baghban	510	202	2003-10-03	2003	2000	Hit	6	10.0	5.39	20.65	31.5	16.978	65.048	1.0	3.0
196	Andaaz	514	203	2003-05-23	2003	2000	Hit	6	9.25	6.97	15.935	29.138	21.955	50.195	1.0	2.0
197	Luka Chuppi	5608	204	2019-03-01	2019	2015	Hit	6	34.0	53.1	88.515	37.4	58.41	97.366	1.0	3.0
198	Badla	5611	205	2019-03-08	2019	2015	Hit	6	37.0	37.78	87.57	40.7	41.558	96.327	1.0	3.0
199	Chalte Chalte	515	206	2003-06-13	2003	2000	Hit	6	11.0	8.23	19.44	34.65	25.925	61.236	1.0	2.0
200	Munnabhai M.B.B.S.	511	207	2003-12-19	2003	2000	Hit	6	10.0	6.08	23.13	31.5	19.152	72.86	1.0	3.0
201	New York	142	208	2009-06-26	2009	2005	Hit	6	28.0	27.36	45.393	63.0	61.56	102.134	1.0	2.0
