film	id	rank	release_date	verdict	budget	first_week	tot_net_gross
Aap Mujhe Achche Lagne Lage	609	692	19-Apr-02	Flop	110000000	53000000	95850000
Delhi 6	147	693	20-Feb-09	Flop	480000000	222000000	306950000
Janta Ki Adalat	3092	694	29-Jul-94	Flop	20000000	15650000	30900000
Phantom	2979	695	28-Aug-15	Flop	720000000	460400000	514450000
Haan Maine Bhi Pyaar Kiya	613	696	15-Feb-02	Flop	110000000	45550000	89300000
Mubarakan	3569	697	28-Jul-17	Flop	650000000	353300000	547650000
Mahaanta	2683	698	23-May-97	Flop	42500000	30300000	52550000
Kareeb	2552	699	17-Jul-98	Flop	65000000	21200000	68200000
Zamaana Deewana	2954	700	28-Jul-95	Flop	40000000	25400000	46700000
Banarasi Babu	2599	701	30-Jan-98	Flop	57500000	27800000	55750000
Aflatoon	2621	702	19-Dec-97	Flop	45000000	27000000	54700000
Jagga Jasoos	3562	703	14-Jul-17	Flop	1310000000	431200000	526150000
Pyaar Koi Khel Nahin	2394	704	30-Jul-99	Flop	85000000	36800000	68000000
Aag	3094	705	12-Aug-94	Flop	18500000	16075000	32175000
Takkar	2956	706	14-Jul-95	Flop	32500000	21400000	40900000
Kyo Kii... Main Jhuth Nahin Bolta	673	707	21-Sep-01	Flop	85000000	35500000	79500000
Phata Poster Nikhla Hero	1515	708	20-Sep-13	Flop	470000000	294800000	384250000
Mohabbat	2647	709	19-Sep-97	Flop	47500000	24200000	52050000
Rascals	42	710	6-Oct-11	Flop	460000000	276500000	333425000
Patiala House	41	711	11-Feb-11	Flop	500000000	242900000	328100000
Yeh Raaste Hain Pyaar Ke	675	712	10-Aug-01	Flop	85000000	42550000	77550000
Aks	674	713	13-Jul-01	Flop	100000000	51500000	80000000
Dushmani	2832	714	19-Jan-96	Flop	57500000	22400000	41125000
Deewane	340	715	11-Aug-00	Flop	85000000	37000000	69500000
Jung	1036	716	12-May-00	Flop	82500000	39000000	65750000
Karz - The Burden of Truth	607	717	6-Dec-02	Flop	110000000	55700000	86950000
Keemat	2578	718	10-Apr-98	Flop	47500000	25300000	51800000
Tadipaar	3323	719	17-Dec-93	Flop	17500000	11700000	23025000
Deewane Huye Paagal	402	720	25-Nov-05	Flop	200000000	100000000	151700000
Swades	460	721	17-Dec-04	Flop	220000000	82800000	163100000
Hum Tum Pe Marte Hain	2370	722	24-Sep-99	Flop	67500000	26000000	62350000
Jis Desh Mein Ganga Rehta Hain	742	723	13-Oct-00	Flop	70000000	33700000	70300000
Aulad Ke Dushman	3331	724	3-Dec-93	Flop	15000000	9600000	20750000
Amaanat	3072	725	14-Oct-94	Flop	28500000	18800000	30850000
Dushman	2563	726	29-May-98	Flop	40000000	20550000	56200000
Raavan	88	727	18-Jun-10	Flop	550000000	242100000	289775000
Matru Ki Bijlee Ka Mandola	1209	728	11-Jan-13	Flop	410000000	316100000	388900000
Dil Hai Tumhaara	606	729	6-Sep-02	Flop	72500000	41100000	86850000
Shakthi - The Power	610	730	20-Sep-02	Flop	100000000	46200000	84750000
Barood	2544	731	7-Aug-98	Flop	55000000	24900000	48500000
Kahin Pyaar Na Ho Jaaye	745	732	17-Nov-00	Flop	77500000	30800000	66950000
Hum Hain Bemisaal	3049	733	16-Dec-94	Flop	20000000	17500000	30150000
Cash	235	734	3-Aug-07	Flop	320000000	159000000	185650000
Ekka Raja Rani	3106	735	24-Jun-94	Flop	23500000	12900000	24700000
London Dreams	149	736	30-Oct-09	Flop	630000000	220200000	256925000
Teesra Kaun?	3047	737	23-Dec-94	Flop	22000000	15500000	31450000
Pardesi Babu	2510	738	13-Nov-98	Flop	55000000	28150000	52650000
Santaan	3344	739	12-Nov-93	Flop	12500000	7010000	21935000
Sunday	183	740	25-Jan-08	Flop	220000000	120300000	203000000
Mr. Azaad	3046	741	23-Dec-94	Flop	25000000	16175000	32250000
Fool N Final	345	742	1-Jun-07	Flop	260000000	124700000	178225000
No Problem	74	743	10-Dec-10	Flop	400000000	209800000	284750000
Prem	2995	744	5-May-95	Flop	50000000	16225000	38775000
Kismat Konnection	194	745	18-Jul-08	Flop	270000000	168100000	227650000
Prithvi	2654	746	29-Aug-97	Flop	50000000	24150000	43600000
Tevar	2505	747	9-Jan-15	Flop	540000000	319100000	355500000
Wajood	2495	748	11-Dec-98	Flop	60000000	25050000	52375000
The Don	2997	749	28-Apr-95	Flop	20000000	16850000	30525000
Mausam	43	750	23-Sep-11	Flop	490000000	280200000	315625000
Aarzoo	2445	751	19-Mar-99	Flop	80000000	29400000	55950000
Baabul	279	752	8-Dec-06	Flop	260000000	108100000	173150000
Taqdeerwala	2992	753	12-May-95	Flop	27500000	15325000	34325000
Eklavya - The Royal Guard	346	754	16-Feb-07	Flop	300000000	139700000	188750000
Dum Maaro Dum	51	755	22-Apr-11	Flop	310000000	228900000	318425000
Khauff	747	756	2-Mar-00	Flop	75000000	34900000	57100000
U Me Aur Hum	332	757	11-Apr-08	Flop	250000000	120800000	209800000
Khushi	526	758	7-Feb-03	Flop	90000000	37600000	90300000
Action Replayy	79	759	5-Nov-10	Flop	510000000	225100000	281250000
Talaash - The Hunt Begins...	527	760	3-Jan-03	Flop	97500000	43900000	78600000
Dil Toh Baccha Hai Ji	46	761	28-Jan-11	Flop	290000000	209100000	282125000
Kartavya	2931	762	29-Sep-95	Flop	35000000	20900000	33500000
Yamla Pagla Deewana 2	1281	763	7-Jun-13	Flop	460000000	272800000	307700000
Bullet Raja	1865	764	29-Nov-13	Flop	520000000	303300000	327500000
Billu	151	765	13-Feb-09	Flop	270000000	175300000	229150000
Humko Deewana Kar Gaye	363	766	14-Apr-06	Flop	170000000	84400000	141250000
Chhote Sarkar	2736	767	22-Nov-96	Flop	40000000	21550000	39250000
Kidnap	325	768	2-Oct-08	Flop	310000000	158400000	204950000
Chor Machaaye Shor	608	769	30-Aug-02	Flop	85000000	47800000	76550000
Shaandaar	3099	770	22-Oct-15	Flop	690000000	359500000	394825000
Ahankaar	2941	771	25-Aug-95	Flop	22500000	18700000	31350000
Bhagyawan	3326	772	10-Dec-93	Flop	11000000	8825000	20000000
Thoda Pyaar Thoda Magic	205	773	27-Jun-08	Flop	230000000	168500000	216700000
Janasheen	520	774	26-Nov-03	Flop	100000000	61900000	97900000
Force 2	3429	775	18-Nov-16	Flop	410000000	259200000	319250000
Musafir	462	776	10-Dec-04	Flop	130000000	77600000	118150000
English Babu Desi Mem	2829	777	26-Jan-96	Flop	35000000	16450000	37800000
Hamari Adhuri Kahani	2881	778	12-Jun-15	Flop	400000000	269500000	329900000
Krodh	307	779	17-Mar-00	Flop	42500000	32000000	51500000
Kranti Kshetra	3085	780	26-Aug-94	Flop	16500000	12425000	23625000
Kranti	632	781	8-Mar-02	Flop	90000000	37750000	61900000
Kyon Ki	405	782	3-Nov-05	Flop	210000000	80750000	127050000
Dil Tera Diwana	2771	783	9-Aug-96	Flop	30000000	18350000	35800000
Hero	2998	784	11-Sep-15	Flop	360000000	293000000	313225000
Force	54	785	30-Sep-11	Flop	280000000	209900000	257125000
Kurbaan	158	786	20-Nov-09	Flop	500000000	197500000	233450000
Himalay Putra	2696	787	4-Apr-97	Flop	42500000	21400000	39600000
Bhishma	2774	788	26-Jul-96	Flop	25000000	16350000	30775000
Shaadi Ke Side Effects	2195	789	28-Feb-14	Flop	430000000	308000000	383100000
Luck	153	790	24-Jul-09	Flop	370000000	164900000	210325000
Qila	2579	791	10-Apr-98	Flop	50000000	16900000	27900000
Insaaf - The Final Justice	2680	792	30-May-97	Flop	35000000	19100000	37125000
Tarkieb	761	793	23-Jun-00	Flop	50000000	28050000	52850000
Laaga Chunari Mein Daag	344	794	12-Oct-07	Flop	200000000	111700000	175050000
Vijeta	2828	795	26-Jan-96	Flop	25000000	13450000	30900000
Jai Gangaajal	3237	796	4-Mar-16	Flop	330000000	245400000	325650000
Achanak	2560	797	12-Jun-98	Flop	42500000	22000000	40650000
Dil Bole Hadippa	155	798	18-Sep-09	Flop	280000000	175900000	233450000
Ramaiya Vastavaiya	1307	799	19-Jul-13	Flop	380000000	195800000	268500000
Shool	2349	800	5-Nov-99	Flop	50000000	24300000	50300000
Rajaji	2419	801	21-May-99	Flop	45000000	23150000	43525000
Roy	2640	802	13-Feb-15	Flop	500000000	337300000	358700000
Zakhmi Sipahi	2978	803	26-May-95	Flop	17500000	13225000	24975000
Aaghaaz	726	804	6-Oct-00	Flop	65000000	29600000	52150000
October	3747	805	20-Apr-18	Flop	330000000	253700000	371100000
Yaar Gaddar	3064	807	4-Nov-94	Flop	21000000	13525000	24000000
Jaal - The Trap	525	807	18-Jul-03	Flop	120000000	46200000	71000000
Mast	2365	808	15-Oct-99	Flop	45000000	27200000	52700000
Daava	2669	809	18-Jul-97	Flop	37500000	18600000	33600000
Munna Micheal	3563	810	21-Jul-17	Flop	410000000	314300000	337100000
Ghayal Once Again	3214	811	5-Feb-16	Flop	500000000	247000000	268450000
Brahma	3077	812	2-Sep-94	Flop	14500000	10800000	21100000
Romeo Akbar Walter	5635	813	5-Apr-19	Flop	480000000	297500000	388850000
Naaraaz	3086	814	19-Aug-94	Flop	18000000	11750000	21500000
Life Partner	154	815	14-Aug-09	Flop	250000000	98600000	206725000
A Flying Jatt	3366	816	25-Aug-16	Flop	550000000	293200000	307625000
Return Of Jewel Thief	2744	817	18-Oct-96	Flop	35000000	14400000	30075000
Tarazu	2661	818	1-Aug-97	Flop	42500000	20500000	32625000
Batti Gul Meter Chalu	3880	819	21-Sep-18	Flop	490000000	314200000	367725000
Pyare Mohan	308	820	14-Apr-06	Flop	130000000	84800000	117950000
Azhar	3283	821	13-May-16	Flop	400000000	275600000	307300000
Gaddaar	2971	822	9-Jun-95	Flop	25000000	14950000	26900000
Shikari	756	823	6-Oct-00	Flop	72500000	29050000	49500000
Shaadi No. 1	407	824	3-Nov-05	Flop	150000000	76300000	114850000
Kahaani 2	3436	825	2-Dec-16	Flop	330000000	235800000	327225000
Aasoo Bane Angaarey	3318	826	31-Dec-93	Flop	13000000	8075000	16300000
Sapnay	2687	827	2-May-97	Flop	NaN	14400000	40650000
Maine Dil Tujhko Diya	621	828	16-Aug-02	Flop	65000000	38600000	63950000
Rehnaa Hai Teree Dil Mein	686	829	19-Oct-01	Flop	60000000	22500000	55200000
Hey Ram	740	830	18-Feb-00	Flop	90000000	23900000	53200000
Kucch Toh Hai	575	831	24-Jan-03	Flop	70000000	35700000	67750000
Prince	93	832	9-Apr-10	Flop	370000000	150700000	191525000
Kill Dil	2400	833	14-Nov-14	Flop	400000000	275300000	299875000
Kismat	2969	834	16-Jun-95	Flop	27500000	14175000	26275000
Prem Aggan	2511	835	30-Oct-98	Flop	60000000	21500000	39650000
Fida	466	836	20-Aug-04	Flop	100000000	68000000	97100000
Love Ke Liye Kuch Bhi Karega	879	837	29-Jun-01	Flop	57500000	28950000	55650000
Tahqiqaat	3332	838	3-Dec-93	Flop	11000000	7125000	15187500
Jeena Sirf Merre Liye	626	839	1-Nov-02	Flop	80000000	33600000	65000000
Teri Meri Kahaani	188	840	22-Jun-12	Flop	410000000	220600000	274850000
Hum To Mohabbat Karega	741	841	26-May-00	Flop	75000000	31400000	50000000
Ghanchakkar	1290	842	28-Jun-13	Flop	290000000	265300000	281675000
Juaari	3100	843	8-Jul-94	Flop	12500000	8850000	17450000
Karan	3174	844	18-Feb-94	Flop	9000000	6825000	14425000
Kuch Khatti Kuch Meethi	269	845	19-Jan-01	Flop	60000000	20450000	50400000
Ek Tha Raja	2833	846	12-Jan-96	Flop	35000000	16750000	26575000
Deewaanapan	697	847	16-Nov-01	Flop	60000000	23900000	51000000
Baar Baar Dekho	3378	848	9-Sep-16	Flop	530000000	291400000	306200000
Hu Tu Tu	2459	849	22-Jan-99	Flop	45000000	18150000	45875000
Rishtey	615	850	6-Dec-02	Flop	87500000	34400000	59950000
Ram Shastra	2912	851	10-Nov-95	Flop	32500000	18150000	26700000
Ashaant	3341	852	26-Nov-93	Flop	10000000	6775000	14525000
Mom	3561	853	7-Jul-17	Flop	370000000	206800000	312750000
Khel	530	854	3-Oct-03	Flop	130000000	44800000	69850000
Halla Bol	180	855	11-Jan-08	Flop	270000000	92700000	127450000
Chauraha	3145	856	8-Apr-94	Flop	11000000	6275000	15412500
Kaalia	2697	857	28-Mar-97	Flop	22500000	15000000	27325000
Guddu	2942	858	11-Aug-95	Flop	20000000	13350000	25450000
Zakhm	2488	859	25-Dec-98	Flop	40000000	18550000	42175000
Daanveer	2759	860	20-Sep-96	Flop	25000000	15050000	25200000
Lootera	1293	861	5-Jul-13	Flop	320000000	233000000	278625000
We Are Family	81	862	2-Sep-10	Flop	300000000	181500000	217750000
Soorma	3795	863	13-Jul-18	Flop	310000000	210900000	321225000
Pehla Pehla Pyar	3137	864	6-May-94	Flop	16000000	8750000	17550000
Raaz Reboot	3380	865	16-Sep-16	Flop	310000000	225300000	248150000
Judgementall Hai Kya	5695	866	26-Jul-19	Flop	320000000	273400000	339500000
Dastak	2733	867	29-Nov-96	Flop	32500000	12450000	30050000
Aatank Hi Aatank	2952	868	4-Aug-95	Flop	25000000	14625000	25450000
Pitaah	638	869	4-Jan-02	Flop	75000000	31850000	47900000
Kyaa Kool Hain Hum 3	3210	870	22-Jan-16	Flop	260000000	225500000	231950000
Jurmana	2836	871	5-Jan-96	Flop	22500000	13350000	23325000
Yeh Hai Jalwa	618	872	26-Jul-02	Flop	80000000	37000000	54900000
Singh Saab The Great	1813	873	22-Nov-13	Flop	420000000	181600000	211600000
Love Aaj Kal 	5750	874	14-Feb-20	Flop	580000000	310300000	333950000
Angaara	2761	875	13-Sep-96	Flop	22500000	14150000	24225000
Zinda	379	876	13-Jan-06	Flop	130000000	59200000	101700000
Dosti - Friends Forever	293	877	23-Dec-05	Flop	150000000	55800000	87700000
Commando 3	5738	878	29-Nov-19	Flop	290000000	290200000	323000000
Jhoot Bole Kauwa Kaate	2496	879	4-Dec-98	Flop	40000000	17650000	40450000
Gangs Of Wasseypur 2	771	880	8-Aug-12	Flop	180000000	174900000	229600000
Hathyar	633	881	18-Oct-02	Flop	70000000	32900000	53450000
Shaadi Se Pehle	371	882	7-Apr-06	Flop	110000000	69200000	101950000
Daadagiri	2659	883	8-Aug-97	Flop	20000000	12500000	26600000
Chhapaak	5744	884	10-Jan-20	Flop	500000000	262300000	325500000
Jawab	3020	885	27-Jan-95	Flop	15000000	8850000	18850000
Finding Fanny	2300	886	12-Sep-14	Flop	290000000	242300000	282300000
Aaja Nachle	231	887	30-Nov-07	Flop	200000000	90300000	140700000
Mere Sapno Ki Rani	2657	888	15-Aug-97	Flop	35000000	13000000	29175000
Dhan Dhana Dhan Goal	242	889	23-Nov-07	Flop	190000000	95500000	138700000
Do Knot Disturb	156	890	2-Oct-09	Flop	300000000	130000000	169300000
Beqabu	2834	891	12-Jan-96	Flop	32500000	15700000	23975000
Bal Bramhachari	2763	892	6-Sep-96	Flop	20000000	13700000	26325000
Suraj	2676	893	27-Jun-97	Flop	22500000	12750000	25100000
God Tussi Great Ho	310	894	15-Aug-08	Flop	210000000	98500000	125100000
Heroes	335	895	24-Oct-08	Flop	180000000	103800000	126250000
Dedh Ishqiya	2068	896	10-Jan-14	Flop	370000000	182400000	252700000
Gair	2345	897	7-Nov-99	Flop	35000000	16800000	32950000
Akira	3370	898	2-Sep-16	Flop	320000000	240200000	261425000
Yamraaj	2546	899	31-Jul-98	Flop	27500000	14900000	28400000
Aurangzeb	1271	900	17-May-13	Flop	220000000	185600000	227425000
Betaabi	2651	901	5-Sep-97	Flop	32500000	14600000	28275000
Baaghi	730	902	7-Apr-00	Flop	57500000	23100000	36450000
Bhoot Part One - The Haunted Ship	5752	903	21-Feb-20	Flop	370000000	226000000	306850000
Go Goa Gone	762	904	10-May-13	Flop	190000000	179200000	242400000
Dil Ka Rishta	534	905	17-Jan-03	Flop	82500000	28900000	55250000
Plan	471	906	9-Jan-04	Flop	90000000	44700000	64050000
Shanghai	178	907	8-Jun-12	Flop	230000000	188300000	235950000
Ittefaq	3643	908	3-Nov-17	Flop	290000000	208400000	275200000
Aakrosh	2581	909	3-Apr-98	Flop	47500000	19000000	28850000
Karthik Calling Karthik	95	910	26-Feb-10	Flop	200000000	138600000	180075000
Commando 2	3479	911	3-Mar-17	Flop	260000000	201800000	216150000
Nishana	3017	912	17-Feb-95	Flop	17500000	9700000	18125000
Dhaal	2626	913	28-Nov-97	Flop	25000000	14300000	26850000
Maha Shaktishaali	3144	914	15-Apr-94	Flop	13000000	7875000	15750000
Thappad	5753	915	28-Feb-20	Flop	240000000	207600000	297000000
Officer	702	916	2-Mar-01	Flop	57500000	20800000	37050000
Detective Byomkesh Bakshy	2840	917	3-Apr-15	Flop	350000000	189200000	262150000
Hello	334	918	10-Oct-08	Flop	140000000	97000000	121050000
Phillauri	3486	919	24-Mar-17	Flop	290000000	211700000	250250000
Sanam Re	3218	920	12-Feb-16	Flop	270000000	194800000	215550000
Daawat E Ishq	2303	921	19-Sep-14	Flop	320000000	204200000	255800000
Military Raaj	2591	922	27-Feb-98	Flop	25000000	12850000	25575000
God And Gun	2994	923	5-May-95	Flop	22500000	12625000	18600000
Parwane	3342	924	12-Nov-93	Flop	7000000	5250000	11190000
Rocky Handsome	3257	925	24-Mar-16	Flop	430000000	186900000	220375000
Armaan	532	926	16-May-03	Flop	95000000	39400000	68200000
Vishwasghaat	2831	927	19-Jan-96	Flop	22500000	13100000	20925000
Paandav	3014	928	3-Mar-95	Flop	15000000	10075000	17325000
Gunehgar	3025	929	6-Jan-95	Flop	17500000	10700000	16750000
Aazmayish	2996	930	21-Apr-95	Flop	15000000	9150000	18450000
Gundagardi	2679	930	6-Jun-97	Flop	25000000	10550000	22525000
Sarabjit	3284	932	20-May-16	Flop	320000000	189500000	256950000
Dum	543	933	24-Jan-03	Flop	77500000	27550000	50300000
Angaaray	2547	934	24-Jul-98	Flop	35000000	15800000	28300000
Rangbaaz	2741	935	25-Oct-96	Flop	20000000	11150000	20975000
7 Khoon Maaf	47	936	18-Feb-11	Flop	250000000	146900000	192600000
2001 - Do Hazaar Ek	2592	937	20-Feb-98	Flop	32500000	12850000	25425000
Baazaar	5526	938	26-Oct-18	Flop	340000000	164200000	257000000
Katti Batti	3023	939	18-Sep-15	Flop	320000000	218500000	237550000
Do Aankhen Barah Haath	2672	940	11-Jul-97	Flop	30000000	13250000	23875000
Manmarziyan	3867	941	14-Sep-18	Flop	280000000	203200000	255750000
Diya Aur Toofan	2918	942	27-Oct-95	Flop	20000000	10775000	18425000
Kyun! Ho Gaya Na....	469	943	13-Aug-04	Flop	100000000	58000000	78800000
Shera	2454	944	5-Feb-99	Flop	20000000	13600000	26150000
Dil Ne Jise Apna Kahaa	468	945	10-Sep-04	Flop	110000000	49500000	68500000
Murder 3	1247	946	15-Feb-13	Flop	150000000	175000000	185100000
Gunaah	625	947	20-Sep-02	Flop	40000000	27100000	44850000
Veer	2938	948	1-Sep-95	Flop	15000000	11175000	16975000
Yeh Teraa Ghar Yeh Meraa Ghar	692	949	12-Oct-01	Flop	62500000	25950000	38700000
Jazbaa	3067	950	9-Oct-15	Flop	280000000	198600000	224750000
Alone	2532	951	16-Jan-15	Flop	190000000	167600000	187100000
Chakravyuh	1166	952	24-Oct-12	Flop	300000000	143400000	170325000
Boom	529	953	19-Sep-03	Flop	80000000	52800000	62300000
Ek Paheli Leela	2844	954	10-Apr-15	Flop	230000000	163200000	185150000
D Day	1308	955	19-Jul-13	Flop	280000000	136600000	184200000
Zulmi	2429	956	16-Apr-99	Flop	35000000	16250000	27425000
Dev	1163	957	11-Jun-04	Flop	82500000	50200000	68300000
Break Ke Baad	77	958	26-Nov-10	Flop	220000000	142000000	168625000
Mard	2567	959	22-May-98	Flop	22500000	12600000	22875000
Zilla Ghaziabad	1251	960	22-Feb-13	Flop	360000000	139200000	156550000
Mrityudand	2671	961	11-Jul-97	Flop	27500000	8750000	26000000
Kyaa Dil Ne Kahaa	640	962	28-Jun-02	Flop	62500000	30000000	42350000
Hum Sab Chor Hain	2917	963	27-Oct-95	Flop	17500000	8725000	16700000
Jodidar	2650	964	5-Sep-97	Flop	15000000	10300000	19400000
Ok Jaanu	3448	965	13-Jan-17	Flop	270000000	171900000	213200000
Bbuddah Hoga Terra Baap	53	966	1-Jul-11	Flop	210000000	114800000	151725000
Kabul Express	365	967	15-Dec-06	Flop	120000000	72100000	116950000
Mastizaade	3212	968	29-Jan-16	Flop	300000000	164600000	177150000
Kuch Naa Kaho	531	969	5-Sep-03	Flop	80000000	37000000	64550000
Apne Dam Par	2820	970	15-Mar-96	Flop	20000000	10800000	17625000
Muqadama	2776	971	19-Jul-96	Flop	22500000	10550000	18225000
Jawaani Jaaneman	5748	972	31-Jan-20	Flop	340000000	186000000	245800000
Humse Badhkar Kaun	2558	973	12-Jun-98	Flop	22500000	11550000	23000000
Policegiri	1291	974	5-Jul-13	Flop	300000000	129100000	148650000
Laawaris	2448	975	5-Mar-99	Flop	35000000	14400000	26025000
Parwana	562	976	12-Sep-03	Flop	67500000	31000000	43500000
Aisha	84	977	6-Aug-10	Flop	180000000	126400000	157825000
Begum Jaan	3510	979	14-Apr-17	Flop	190000000	158900000	200525000
Mulk	3808	980	3-Aug-18	Flop	190000000	125400000	218900000
Saand Ki Aankh	5731	981	25-Oct-19	Flop	250000000	115800000	233600000
Stunttman	3068	982	21-Oct-94	Flop	15000000	9625000	13700000
Aao Pyar Karen	3062	983	25-Nov-94	Flop	10000000	8975000	14325000
Junglee	5632	984	29-Mar-19	Flop	460000000	190100000	229250000
Ek Ajnabee	295	985	9-Dec-05	Flop	120000000	46750000	69350000
PM Narendra Modi	5663	986	24-May-19	Flop	250000000	156500000	224200000
The Attacks Of 26/11	1258	987	1-Mar-13	Flop	230000000	122700000	154200000
Panga	5747	988	24-Jan-20	Flop	490000000	152500000	223600000
Sanam	2686	989	9-May-97	Flop	17500000	8950000	17300000
TE3N	3297	990	10-Jun-16	Flop	340000000	162100000	188500000
Chocolate	420	991	23-Sep-05	Flop	90000000	37000000	66400000
Darna Mana Hai	1196	992	25-Jul-03	Flop	45000000	38400000	51450000
Hitler	2570	993	15-May-98	Flop	22500000	10800000	19400000
Tirchhi Topiwale	2526	994	11-Sep-98	Flop	17500000	8500000	22600000
Karwaan	3807	995	3-Aug-18	Flop	230000000	123300000	201825000
Ab Ke Baras	1254	996	10-May-02	Flop	52500000	18650000	30850000
Run	483	997	14-May-04	Flop	67500000	32800000	47450000
Taaqat	2960	998	23-Jun-95	Flop	17500000	9350000	14850000
D	415	999	3-Jun-05	Flop	65000000	42250000	59350000
Out Of Control	533	1000	21-Nov-03	Flop	52500000	33100000	47700000
Vaada	430	1001	7-Jan-05	Flop	80000000	38500000	54100000
Luck By Chance	786	1002	30-Jan-09	Flop	180000000	91600000	122500000
1920 London	3275	1003	6-May-16	Flop	210000000	124800000	153500000
The Shaukeens	2379	1004	7-Nov-14	Flop	410000000	167300000	183450000
Madaari	3339	1005	22-Jul-16	Flop	NaN	134100000	177900000
Blackmail	3746	1006	6-Apr-18	Flop	200000000	152600000	195200000
Ustadon Ke Ustad	2586	1007	20-Mar-98	Flop	22500000	11900000	18350000
Happy Phirr Bhag Jayegi	3817	1008	24-Aug-18	Flop	300000000	167100000	192625000
Creature 3D	2301	1009	12-Sep-14	Flop	250000000	133100000	145050000
Bandish	2822	1010	23-Feb-96	Flop	22500000	15100000	25325000
Nirbhay	2821	1011	23-Feb-96	Flop	15000000	7450000	13475000
Footpath	544	1012	15-Aug-03	Flop	55000000	27350000	41450000
Shaka Laka Boom Boom	1457	1013	6-Apr-07	Flop	115000000	56800000	67750000
The Sky Is Pink	5713	1014	11-Oct-19	Flop	420000000	150100000	201150000
Good Boy Bad Boy	1465	1015	11-May-07	Flop	125000000	48100000	72500000
De Taali	318	1016	20-Jun-08	Flop	120000000	72600000	84850000
Thackeray	5578	1017	25-Jan-19	Flop	310000000	168300000	198175000
Sham Ghansham	2562	1018	29-May-98	Flop	25000000	10100000	18750000
Do Numri	2551	1019	17-Jul-98	Flop	17500000	9400000	17650000
Vaah! Life Ho Toh Aisi!	423	1020	23-Dec-05	Flop	130000000	37950000	58400000
Ram Aur Shyam	2728	1021	20-Dec-96	Flop	17500000	10250000	14750000
Darna Zaroori Hai	288	1022	28-Apr-06	Flop	87500000	53700000	64250000
Ek Ladki Ko Dekha Toh Aisa Laga	5581	1023	1-Feb-19	Flop	350000000	161500000	193175000
Akhiyon Se Goli Maare	639	1024	2-Aug-02	Flop	52500000	21500000	31000000
Nazar Ke Samne	2973	1025	2-Jun-95	Flop	12500000	7400000	12675000
Paathshaala	103	1026	16-Apr-10	Flop	140000000	75200000	109475000
Sar Utha Ke Jiyo	2521	1027	25-Sep-98	Flop	22500000	9100000	18050000
Shaadi Mein Zaroor Aana	3649	1028	10-Nov-17	Flop	130000000	87200000	153400000
Crook	111	1029	8-Oct-10	Flop	230000000	95100000	104450000
Hero Hindustani	2512	1030	23-Oct-98	Flop	27500000	11400000	19400000
Sanyasi Mera Naam	2360	1031	1-Oct-99	Flop	15000000	9300000	17775000
Vishwaroop	1226	1032	1-Feb-13	Flop	NaN	115300000	131050000
Fight Club	298	1033	17-Feb-06	Flop	82500000	40200000	54800000
Nishabd	1443	1034	2-Mar-07	Flop	85000000	54600000	75300000
Khilona	2730	1035	13-Dec-96	Flop	15000000	9225000	13525000
Qarib Qarib Singlle	3650	1036	10-Nov-17	Flop	170000000	118200000	163250000
Himmatvar	2792	1037	14-Jun-96	Flop	15000000	5650000	11950000
Dil Maange More	484	1038	31-Dec-04	Flop	70000000	39500000	54350000
Karam	1733	1039	11-Mar-05	Flop	57500000	34100000	49500000
Hatyara	2561	1040	5-Jun-98	Flop	20000000	8500000	15300000
Saazish	2593	1041	20-Feb-98	Flop	20000000	9300000	15050000
Woh Lamhe	1550	1042	29-Sep-06	Flop	77500000	41800000	68000000
Zulm-O-Sitam	2538	1043	28-Aug-98	Flop	20000000	8500000	15000000
Krishna Cottage	488	1044	16-Apr-04	Flop	40000000	28100000	39900000
Jeevan Yudh	2662	1045	25-Jul-97	Flop	25000000	7600000	13375000
Ek Hasina Thi	478	1046	16-Jan-04	Flop	42500000	27300000	46400000
Sssshhh	546	1047	24-Oct-03	Flop	35000000	19825000	36425000
Shirin Farhad Ki Toh Nikal Padi	979	1048	24-Aug-12	Flop	190000000	94800000	124925000
Ganga Ki Kasam	2418	1049	4-Jun-99	Flop	22500000	9050000	14925000
Chance Pe Dance	99	1050	15-Jan-10	Flop	290000000	84700000	93400000
Simran	3604	1051	15-Sep-17	Flop	280000000	137600000	148875000
Jabariya Jodi	5701	1052	9-Aug-19	Flop	390000000	157600000	160875000
Bewakoofiyaan	2205	1053	14-Mar-14	Flop	220000000	126700000	139400000
Freaky Ali	3379	1054	9-Sep-16	Flop	230000000	121800000	133825000
Shaapit	117	1055	19-Mar-10	Flop	90000000	57100000	75950000
Saaya	540	1056	4-Jul-03	Flop	30000000	21650000	32350000
Dada	2393	1057	16-Jul-99	Flop	15000000	7900000	14025000
Dand - Nayak	2576	1058	17-Apr-98	Flop	22500000	7800000	14675000
Nayee Padosan	567	1059	6-Jun-03	Flop	30000000	17950000	30875000
Rakht Charitra	128	1060	22-Oct-10	Flop	190000000	65700000	81675000
Yeh Kya Ho Raha Hai?	635	1061	11-Oct-02	Flop	32500000	21100000	29100000
Jawani Diwani - A Youtful Joyride	383	1062	6-Jan-06	Flop	47500000	37000000	47200000
Neal N Nikki	1263	1063	9-Dec-05	Flop	70000000	44000000	60600000
MSG - The Warrior Lion Heart	3399	1064	7-Oct-16	Flop	180000000	53000000	132425000
The Xpose	2248	1065	16-May-14	Flop	150000000	90600000	96300000
