	indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio	footfalls	screens	runtime	release_week	holiday_release	multiple_releases	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story	production_banner_exp	production_banner_hits	actors_exp	actors_hits	directors_exp	directors_hits	producers_exp	producers_hits	music_exp	music_hits	lyrics_exp	lyrics_hits	screenplay_exp	screenplay_hits	dialogue_exp	dialogue_hits	story_exp	story_hits	directors_awards	actors_awards	music_awards	lyrics_awards	screenplay_awards	dialogue_awards	story_awards
0	0	Hum Aapke Hain Koun..!	11	1	1994-08-05	1994	1995	All Time Blockbuster	9	6.25	0.68	72.465	36.062	3.924	418.12300000000005	1	3	73962000	35	206	31	0	1	Drama	0	Rajshri Productions Pvt. Ltd.	Madhuri Dixit|Salman Khan|Mohnish Bahl|Renuka Shahane	Sooraj Barjatya	Rajkumar Barjatya|Kamal Kumar Barjatya|Ajit Kumar Barjatya	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1	Bahubali 2 - The Conclusion	3517	2	2017-04-28	2017	2015	All Time Blockbuster	9	195.0	246.47	510.36	234.0	295.764	612.432	1	3	52522000	3950	167	17	0	0	Masala	2	Arka Mediaworks|Dharma Productions Pvt. Ltd.	Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia	S.S. Rajamouli	K. Raghavendra Rao|Shobu Yarlagadda|Prasad Devineni	M.M. Kreem	Manoj Muntashir	S.S. Rajamouli	none	none	19.0	8.0	9.0	4.0	1.0	1.0	3.0	3.0	3.0	1.0	14.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	Gadar - Ek Prem Katha	657	3	2001-06-15	2001	2000	All Time Blockbuster	9	19.0	9.28	76.88	64.79	31.645	262.161	1	3	50573000	350	178	23	0	1	Action	0	Zee Motion Pictures	Sunny Deol|Ameesha Patel|Amrish Puri|Lillete Dubey	Anil Sharma	Nitin Keni	Uttam Singh	Anand Bakshi	Shaktimaan	Shaktimaan	Shaktimaan	0.0	0.0	33.0	11.0	1.0	0.0	0.0	0.0	3.0	1.0	38.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
3	3	Dilwale Dulhania Le Jayenge	3036	4	1995-10-20	1995	1995	All Time Blockbuster	9	4.0	3.373	53.313	21.08	17.776	280.96	1	3	47971000	180	189	42	0	2	Love Story	0	Yash Raj Films	Shahrukh Khan|Kajol|Amrish Puri|Farida Jalal	Aditya Chopra	Yash Chopra	Jatin-Lalit	Anand Bakshi	Aditya Chopra	Javed Siddique|Aditya Chopra	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4	Raja Hindustani	2737	5	1996-11-11	1996	1995	All Time Blockbuster	9	5.75	3.65	43.145	27.6	17.52	207.09599999999998	1	3	40975000	185	171	45	1	0	Love Story	0	Cineyug Films Pvt. Ltd.	Aamir Khan|Karisma Kapoor|Suresh Oberoi|Johny Lever	Dharmesh Darshan	Bunty Soorma|Karim Morani|Ali Morani	Nadeem-Shravan	Sameer	Robin Bhatt	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5	Dangal	3443	6	2016-12-23	2016	2015	All Time Blockbuster	9	132.0	192.38	374.53	162.36	236.627	460.67199999999997	1	3	36996000	4250	161	51	0	0	Drama	0	Aamir Khan Productions|UTV Motion Pictures	Aamir Khan|Sakshi Tanwar|Fatima Sana Shaikh|Sanya Malhotra	Nitish Tiwari	Aamir Khan|Kiran Rao|Siddharth Roy Kapur	Pritam	Amitabh Bhattacharya	Shreyas Jain	none	none	43.0	10.0	4.0	2.0	2.0	0.0	22.0	5.0	33.0	8.0	37.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
6	6	Border	2678	7	1997-06-13	1997	1995	All Time Blockbuster	9	10.0	6.19	39.455	43.5	26.926	171.62900000000002	1	3	37083000	290	176	23	0	0	Action	0	J.P. Films	Rakhee|Sunny Deol|Jackie Shroff|Suneil Shetty	J.P. Dutta	J.P. Dutta	Anu Malik	Javed Akhtar	J.P. Dutta	O.P. Dutta	J.P. Dutta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	7	Kuch Kuch Hota Hai	2514	8	1998-10-16	1998	1995	All Time Blockbuster	9	10.0	5.64	46.865	40.9	23.068	191.678	1	3	35658000	240	185	41	0	2	Love Story	0	Dharma Productions Pvt. Ltd.	Shahrukh Khan|Kajol|Rani Mukherjee|Farida Jalal	Karan Johar	Yash Johar	Jatin-Lalit	Sameer	Karan Johar	Karan Johar	Karan Johar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	8	Bajrangi Bhaijaan	2899	9	2015-07-17	2015	2015	All Time Blockbuster	9	125.0	183.52	315.49	162.5	238.576	410.13699999999994	1	3	35417000	4100	159	28	1	0	Masala	0	Eros International|Salman Khan Films	Salman Khan|Kareena Kapoor|Nawazuddin Siddiqui|Harshaali Malhotra	Kabir Khan	Salman Khan|Rockline Venkatesh	Pritam	Mayur Puri|Amitabh Bhattacharya|Kausar Munir	none	none	none	45.0	9.0	27.0	11.0	1.0	1.0	1.0	0.0	43.0	10.0	65.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
9	9	PK	2482	10	2014-12-19	2014	2010	All Time Blockbuster	9	122.0	181.26	337.725	168.36	250.139	466.06	1	3	35061000	3600	153	50	0	0	Drama	0	Rajkumar Hirani Films|UTV Motion Pictures|Vidhu Vinod Chopra Productions	Aamir Khan|Anushka Sharma|Sanjay Dutt|Saurabh Shukla	Rajkumar Hirani	Rajkumar Hirani|Vidhu Vinod Chopra	Ajay-Atul|Shantanu Moitra	Swanand Kirkire|Amitabh Verma	none	none	none	45.0	8.0	28.0	6.0	1.0	1.0	2.0	1.0	11.0	5.0	21.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
10	10	3 Idiots	136	11	2009-12-24	2009	2005	All Time Blockbuster	9	77.0	76.26	201.373	173.25	171.585	453.089	1	3	31785000	1750	170	51	0	0	Drama	0	Vidhu Vinod Chopra Productions	Aamir Khan|Kareena Kapoor|R. Madhavan|Sharman Joshi	Rajkumar Hirani	Vidhu Vinod Chopra	Shantanu Moitra	Swanand Kirkire	Rajkumar Hirani|Abhijat Joshi	Rajkumar Hirani	Rajkumar Hirani|Abhijat Joshi	3.0	1.0	29.0	10.0	1.0	1.0	3.0	1.0	10.0	1.0	10.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
11	11	Dhoom 3	1956	12	2013-12-20	2013	2010	All Time Blockbuster	9	175.0	173.12	260.63	264.25	261.411	393.551	1	2	29793000	3650	172	50	0	0	Action	3	Yash Raj Films	Aamir Khan|Abhishek Bachchan|Katrina Kaif|Uday Chopra	Vijay Krishna Acharya	Aditya Chopra	Pritam	Amitabh Bhattacharya|Sameer|Kausar Munir	Vijay Krishna Acharya	none	none	17.0	6.0	26.0	11.0	1.0	0.0	16.0	6.0	54.0	14.0	79.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
12	12	Tiger Zinda Hai	3689	13	2017-12-22	2017	2015	Blockbuster	8	210.0	206.04	339.0	252.0	247.248	406.8	1	2	30889000	4600	161	51	0	0	Action	0	Yash Raj Films	Salman Khan|Katrina Kaif|Paresh Rawal|Sajjad Delafrooz	Ali Abbas Zafar	Aditya Chopra	Vishal-Shekhar	Irshad Kamil	Ali Abbas Zafar	Ali Abbas Zafar	Neelish Misra	18.0	6.0	22.0	10.0	2.0	1.0	15.0	6.0	14.0	4.0	16.0	7.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
13	13	Sultan	3317	14	2016-07-06	2016	2015	Blockbuster	8	145.0	208.99	300.673	178.35	257.058	369.82800000000003	1	3	32085000	4350	170	27	1	0	Masala	0	Yash Raj Films	Salman Khan|Anushka Sharma|Amit Sadh|Randeep Hooda	Ali Abbas Zafar	Aditya Chopra	Vishal-Shekhar	Irshad Kamil	Ali Abbas Zafar	Ali Abbas Zafar	Ali Abbas Zafar	17.0	6.0	29.0	10.0	2.0	1.0	14.0	6.0	13.0	5.0	22.0	7.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
14	14	Kabhi Khushi Kabhie Gham...	658	15	2001-12-14	2001	2000	Blockbuster	8	40.0	14.38	55.65	136.4	49.036	189.766	1	2	31173000	500	210	49	0	3	Drama	0	Dharma Productions Pvt. Ltd.	Amitabh Bachchan|Jaya Bachchan|Shahrukh Khan|Kajol	Karan Johar	Yash Johar	Sandesh Shandilya|Jatin-Lalit	Sameer	Karan Johar	Karan Johar	none	2.0	1.0	37.0	13.0	1.0	1.0	2.0	1.0	27.0	8.0	108.0	19.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0
15	15	Kaho Naa... Pyaar Hai	711	16	2000-01-14	2000	2000	Blockbuster	8	10.0	3.77	44.275	35.3	13.308	156.291	1	3	30663000	170	171	2	0	0	Love Story	0	Filmkraft Pvt. Ltd.	Hrithik Roshan|Ameesha Patel|Anupam Kher|Dalip Tahil	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Vijay Akela|Saawan Kumar Tak|Ibrahim Ashik	Rakesh Roshan	none	none	2.0	1.0	25.0	3.0	2.0	1.0	2.0	1.0	22.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	16	Karan Arjun	3032	17	1995-01-13	1995	1995	Blockbuster	8	6.0	4.285	25.285	31.62	22.581999999999997	133.252	1	3	29913000	250	167	2	0	0	Action	0	Filmkraft Pvt. Ltd.	Rakhee|Salman Khan|Shahrukh Khan|Kajol	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Indeevar	Sachin Bhowmick|Ravi Kapoor	Anwar Khan	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	17	Dil To Pagal Hai	2635	18	1997-10-31	1997	1995	Blockbuster	8	9.0	5.24	34.97	39.15	22.794	152.12	1	3	29512000	245	175	43	1	2	Love Story	0	Yash Raj Films	Madhuri Dixit|Shahrukh Khan|Karisma Kapoor|Farida Jalal	Yash Chopra	Yash Chopra	Uttam Singh	Anand Bakshi	Yash Chopra|Tanuja Chandra|Pamela Chopra	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	18	Hum Saath Saath Hain	992	19	1999-11-05	1999	1995	Blockbuster	8	17.0	8.19	39.175	60.35	29.074	139.071	1	3	28518000	350	177	44	0	2	Drama	0	Rajshri Productions Pvt. Ltd.	Salman Khan|Karisma Kapoor|Saif Ali Khan|Tabu	Sooraj Barjatya	Rajkumar Barjatya|Kamal Kumar Barjatya|Ajit Kumar Barjatya	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	none	none	1.0	1.0	67.0	22.0	1.0	1.0	3.0	3.0	11.0	1.0	62.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
19	19	Padmaavat	3700	20	2018-01-25	2018	2015	Blockbuster	8	215.0	142.35	282.28	247.25	163.702	324.622	1	2	23442000	3750	163	3	1	0	Drama	0	Sanjay Leela Bhansali Films|Viacom 18 Motion Pictures	Deepika Padukone|Shahid Kapoor|Ranveer Singh|Aditi Rao Hydari	Sanjay Leela Bhansali	Sanjay Leela Bhansali|Sudhanshu Vats|Ajit Andhare	Sanjay Leela Bhansali	A.M. Turaz	Sanjay Leela Bhansali	none	none	32.0	9.0	27.0	8.0	2.0	2.0	4.0	3.0	2.0	2.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0
20	20	Mohabbatein	712	21	2000-10-27	2000	2000	Blockbuster	8	19.0	7.62	41.88	67.07	26.899	147.836	1	3	26723000	315	216	43	1	3	Love Story	0	Yash Raj Films	Amitabh Bachchan|Shahrukh Khan|Aishwarya Rai|Uday Chopra	Aditya Chopra	Yash Chopra	Jatin-Lalit	Anand Bakshi	Aditya Chopra	Aditya Chopra	Aditya Chopra	2.0	2.0	29.0	9.0	1.0	1.0	2.0	2.0	26.0	8.0	42.0	10.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	4.0	0.0	2.0	1.0	2.0	0.0
21	21	Chennai Express	1304	23	2013-08-08	2013	2010	Blockbuster	8	115.0	139.7	207.69	173.65	210.947	313.612	1	2	25227000	3600	142	31	1	0	Masala	0	Red Chillies Entertainment|UTV Motion Pictures	Shahrukh Khan|Deepika Padukone|Niketan Dheer|Sathyaraj	Rohit Shetty	Ronnie Screwvala|Gauri Khan|Karim Morani|Siddharth Roy Kapur	Honey Singh|Vishal-Shekhar	none	none	none	none	44.0	9.0	17.0	8.0	6.0	4.0	39.0	8.0	17.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
22	22	Dabangg	65	24	2010-09-10	2010	2010	Blockbuster	8	41.0	81.64	141.245	79.95	159.19799999999998	275.428	1	3	25086000	1900	125	36	2	0	Action	1	Arbaaz Khan Production Pvt. Ltd.|Shree Ashtavinayak Cinevision Ltd.	Salman Khan|Sonakshi Sinha|Vinod Khanna|Dimple Kapadia	Abhinav Kashyap	Maliaka Arora|Arbaaz Khan|Dillion Mehta	Sajid Wajid|Lalit Pandit	Faiz Anwar	none	none	none	10.0	4.0	22.0	4.0	0.0	0.0	2.0	0.0	20.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	23	Ek Tha Tiger	887	25	2012-08-15	2012	2010	Blockbuster	8	92.0	128.02	186.145	154.56	215.074	312.724	1	3	24739000	3200	133	33	1	0	Action	0	Yash Raj Films	Salman Khan|Katrina Kaif|Ranvir Shorey|Girish Karnad	Kabir Khan	Aditya Chopra	Sajid Wajid|Sohail Sen	Kausar Munir|Neelish Misra|Anvita Dutt	none	none	none	19.0	4.0	33.0	13.0	1.0	1.0	18.0	4.0	23.0	5.0	24.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
24	24	Kick	2286	27	2014-07-25	2014	2010	Blockbuster	8	140.0	155.31	211.63	193.2	214.328	292.04900000000004	1	2	24192000	3800	146	29	0	0	Action	0	Nadiadwala Grandson Entertainment|UTV Motion Pictures	Salman Khan|Jacqueline Fernandez|Randeep Hooda|Mithun Chakraborty	Sajid Nadiadwala	Sajid Nadiadwala	Honey Singh|Himesh Reshammiya|Meet Bros	Mayur Puri|Shabbir Ahmed	none	none	none	47.0	9.0	33.0	9.0	0.0	0.0	4.0	2.0	21.0	7.0	47.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	25	Ghajini	309	28	2008-12-25	2008	2005	Blockbuster	8	52.0	55.16	114.1	127.92	135.694	280.686	1	3	24014000	1550	179	51	0	1	Action	0	Geetha Arts	Aamir Khan|Asin|Jiah Khan|Pradeep Rawat	A.R. Murugadoss	Madhu Mantena Varma|Allu Arvind	A.R. Rahman	Prasoon Joshi	A.R. Murugadoss	A.R. Murugadoss	none	0.0	0.0	5.0	3.0	0.0	0.0	1.0	0.0	13.0	2.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
26	26	Simmba	5568	29	2018-12-28	2018	2015	Blockbuster	8	139.0	150.26	239.845	159.85	172.799	275.822	1	2	19132000	4000	159	51	0	0	Masala	0	Dharma Productions Pvt. Ltd.|Reliance Entertainment|Rohit Shetty Productions	Ranveer Singh|Sara Ali Khan|Ashutosh Rana|Sonu Sood	Rohit Shetty	Rohit Shetty|Karan Johar|Hiroo Johar|Apoorva Mehta	DJ Chetas|Lijo George	none	none	none	none	41.0	13.0	17.0	3.0	4.0	3.0	29.0	14.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
27	27	Bodyguard	26	30	2011-08-31	2011	2010	Blockbuster	8	70.0	103.89	144.78	124.6	184.924	257.70799999999997	1	3	22148000	2750	139	35	3	2	Action	0	Reel Life Productions|Reliance Entertainment	Salman Khan|Kareena Kapoor|Raj Babbar|Mahesh Manjrekar	Siddique	Atul Agnihotri|Alvira Agnihotri	Himesh Reshammiya|Pritam	Shabbir Ahmed|Neelish Misra	none	none	none	9.0	0.0	34.0	7.0	0.0	0.0	1.0	0.0	88.0	16.0	37.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
28	28	Krrish 3	1711	31	2013-11-01	2013	2010	Blockbuster	8	95.0	121.22	175.835	143.45	183.042	265.51099999999997	1	2	21819000	3500	152	43	0	0	Action	2	Filmkraft Pvt. Ltd.	Hrithik Roshan|Priyanka Chopra|Kangana Ranaut|Vivek Oberoi	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Sameer	Rakesh Roshan	Irfan Kamal|Honey Irani	none	2.0	0.0	38.0	7.0	0.0	0.0	2.0	0.0	2.0	0.0	50.0	9.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
29	29	Dhoom 2	176	33	2006-11-24	2006	2005	Blockbuster	8	42.0	32.0	81.005	116.34	88.64	224.38400000000001	1	2	21557000	1000	152	47	0	0	Action	2	Yash Raj Films	Hrithik Roshan|Abhishek Bachchan|Aishwarya Rai|Uday Chopra	Sanjay Gadhvi	Aditya Chopra	Pritam	Sameer	Aditya Chopra	Vijay Krishna Acharya	Vijay Krishna Acharya	8.0	5.0	38.0	5.0	3.0	1.0	6.0	5.0	7.0	2.0	133.0	12.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
30	30	Mohra	3102	34	1994-07-01	1994	1995	Blockbuster	8	3.75	3.17	12.013	21.638	18.291	69.315	1	3	21507000	220	162	26	0	0	Action	0	Trimurti Films Pvt. Ltd.	Naseeruddin Shah|Akshay Kumar|Suneil Shetty|Raveena Tandon	Rajiv Rai	Gulshan Rai	Viju Shah	Anand Bakshi|Indeevar	Shabbir Boxwala|Rajiv Rai	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	31	Raja	3033	35	1995-06-02	1995	1995	Blockbuster	8	4.25	3.7	20.335	22.397	19.499000000000002	107.165	1	3	21327000	225	151	22	0	1	Drama	0	Maruti Films	Sanjay Kapoor|Madhuri Dixit|Mukesh Khanna|Dalip Tahil	Indra Kumar	Indra Kumar|Ashok Thakeria	Nadeem-Shravan	Sameer	Rajeev Kaul|Praful Parekh	none	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	32	Dabangg 2	1206	36	2012-12-21	2012	2010	Blockbuster	8	84.0	99.06	149.52	141.12	166.421	251.19400000000002	1	2	20528000	3400	129	51	0	0	Action	2	Arbaaz Khan Production Pvt. Ltd.	Salman Khan|Sonakshi Sinha|Prakash Raj|Vinod Khanna	Arbaaz Khan	Maliaka Arora|Arbaaz Khan	Sajid Wajid	Irfan Kamal|Ashraf Ali|Sameer	none	none	none	1.0	1.0	21.0	10.0	0.0	0.0	2.0	2.0	18.0	4.0	63.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
33	33	Yeh Jawaani Hai Deewani	1280	37	2013-05-31	2013	2010	Blockbuster	8	75.0	105.35	177.99	113.25	159.078	268.765	1	3	20264000	2900	159	21	0	0	Love Story	0	Dharma Productions Pvt. Ltd.|UTV Motion Pictures	Ranbir Kapoor|Deepika Padukone|Aditya Roy Kapoor|Kalki Koechlin	Ayan Mukherji	Karan Johar|Hiroo Johar	Pritam	Amitabh Bhattacharya	Ayan Mukherji	Hussain Dalal	none	48.0	10.0	26.0	6.0	1.0	0.0	15.0	5.0	54.0	14.0	25.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
34	34	Rowdy Rathore	177	38	2012-06-01	2012	2010	Blockbuster	8	77.0	75.52	131.215	129.36	126.874	220.44099999999997	1	2	20095000	2800	140	22	0	0	Action	0	MR Media|Sanjay Leela Bhansali Films|UTV Motion Pictures	Akshay Kumar|Sonakshi Sinha|M. Naseer|Yashpal Sharma	Prabhu Deva	Ronnie Screwvala|Sanjay Leela Bhansali	Sajid Wajid	Sameer|Faiz Anwar	V. Vijayendra Prasad	none	none	37.0	5.0	27.0	6.0	1.0	1.0	33.0	3.0	18.0	4.0	64.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
35	35	Golmaal Again	3630	39	2017-10-20	2017	2015	Blockbuster	8	142.0	136.01	205.5	170.4	163.21200000000002	246.6	1	2	19846000	3300	151	42	1	1	Comedy	4	Mangl Murti Films|Reliance Entertainment|Rohit Shetty Productions	Ajay Devgn|Tabu|Arshad Warsi|Shreyas Talpade	Rohit Shetty	Rohit Shetty	DJ Chetas|Lijo George|Thaman S.|Abhishek Arora|Nucleya	none	none	none	none	19.0	3.0	26.0	4.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	36	Agni Sakshi	2817	41	1996-03-29	1996	1995	Blockbuster	8	4.75	2.985	19.52	22.8	14.328	93.696	1	3	19671000	175	142	12	0	2	Thriller	0	Neha Films	Jackie Shroff|Nana Patekar|Manisha Koirala|Divya Dutta	Partho Ghosh	Binda Thackeray	Nadeem-Shravan	Sameer	Ranbir Pushp	Hriday Lani	Ranbir Pushp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	37	Krrish	384	42	2006-06-23	2006	2005	Blockbuster	8	40.0	29.3	72.155	110.8	81.161	199.86900000000003	1	2	19617000	950	175	25	0	0	Action	1	Filmkraft Pvt. Ltd.	Rekha|Hrithik Roshan|Priyanka Chopra|Naseeruddin Shah	Rakesh Roshan	Rakesh Roshan	Rajesh Roshan	Vijay Akela|Ibrahim Ashik|Nasir Faraz	Rakesh Roshan	none	none	1.0	1.0	34.0	5.0	1.0	1.0	1.0	1.0	8.0	1.0	14.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
38	38	Ready	27	43	2011-06-03	2011	2010	Blockbuster	8	61.0	69.08	120.723	108.58	122.962	214.887	1	2	18452000	2300	149	22	0	1	Comedy	0	One Up Entertainment Pvt. Ltd.|Rawail Grandsons Entertainment and Software Pvt. Ltd.|Sohail Khan Productions|T-Series	Salman Khan|Asin|Paresh Rawal|Mahesh Manjrekar	Anees Bazmee	Krishan Kumar|Sohail Khan|Bhushan Kumar|Rajat Rawail|Nitin Manmohan	Pritam	none	none	none	none	8.0	2.0	42.0	7.0	4.0	2.0	14.0	3.0	59.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	39	Rangeela	2958	44	1995-09-08	1995	1995	Blockbuster	8	4.5	3.725	20.22	23.715	19.631	106.559	1	3	18358000	215	143	36	0	1	Love Story	0	Ram Gopal Varma Productions	Jackie Shroff|Aamir Khan|Urmila Matondkar|Gulshan Grover	Ram Gopal Varma	Ram Gopal Varma	A.R. Rahman	Mehboob	Ram Gopal Varma	Neeraj Vora	Ram Gopal Varma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	40	Om Shanti Om	266	45	2007-11-09	2007	2005	Blockbuster	8	40.0	36.38	78.165	104.0	94.588	203.229	1	2	17974000	1200	162	44	1	1	Masala	0	Eros International|Red Chillies Entertainment	Shahrukh Khan|Deepika Padukone|Arjun Rampal|Shreyas Talpade	Farah Khan	Gauri Khan	Vishal-Shekhar	Vishal Daldani|Kumaar|Javed Akhtar	Mushtaq Sheikh	none	none	6.0	1.0	27.0	7.0	1.0	1.0	2.0	1.0	23.0	2.0	45.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
41	41	Golmaal 3	5	46	2010-11-05	2010	2010	Blockbuster	8	50.0	62.61	108.06	97.5	122.09	210.717	1	3	17712000	1750	141	44	1	1	Comedy	3	Shree Ashtavinayak Cinevision Ltd.	Mithun Chakraborty|Ajay Devgn|Kareena Kapoor|Arshad Warsi	Rohit Shetty	Dillion Mehta	Pritam	Kumaar	Yunus Sajawal	Yunus Sajawal	Farhad-Sajid	10.0	4.0	65.0	10.0	4.0	2.0	2.0	0.0	48.0	12.0	13.0	2.0	4.0	0.0	6.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
42	42	Lage Raho Munnabhai	303	47	2006-09-01	2006	2005	Blockbuster	8	19.0	20.39	74.88	52.63	56.48	207.418	1	3	17635000	600	146	35	2	1	Drama	0	Vidhu Vinod Chopra Productions	Sanjay Dutt|Arshad Warsi|Vidya Balan|Boman Irani	Rajkumar Hirani	Vidhu Vinod Chopra	Shantanu Moitra	Swanand Kirkire	none	Rajkumar Hirani|Abhijat Joshi	Rajkumar Hirani	2.0	1.0	30.0	3.0	1.0	1.0	2.0	1.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
